Protein name,RNA name
CD3e,CD3E
CD4,CD4
CD8,CD8A
CD10,MME
CD11B,ITGAM
CD11C,ITGAX
CD14,CD14
CD15,FUT4
CD19,CD19
CD33,CD33
CD34,CD34
CD38,CD38
CD44,CD44
CD138,SDC1
CD45,PTPRC
CD45RA,PTPRC
CD49F,ITGA6
CD56,NCAM1
CD61,ITGB3
CD68,CD68
CD71,TFRC
CD79A,CD79A
CD90,THY1
CD105,ENG
CD109,CD109
CD117,KIT
CD123,IL3RA
CD146,MCAM
CD163,CD163
CD235ab,GYPA
CD271,NGFR
ASMA,ACTA2
Adiponectin,ADIPOQ
BCL2,BCL2
BCAT,CTNNB1
OXPHOS,COX4I1
CXCL12,CXCL12
CXCR4,CXCR4
FOXC1,FOXC1
GYPC,GYPC
GATA1,GATA1
HIF1A,HIF1A
HLA-DR,HLA-DRA
HLA-DR,HLA-DRB1
Ki67,MKI67
MPO,MPO
PAX5,PAX5
PDPN,PDPN
PLP1,PLP1
SPINK2,SPINK2
SPP1,SPP1
TGFB1,TGFB1
Tyrosine Hydroxylase,TH
MastCellTryptase,TPSAB1
VCAM1,VCAM1
VECAD,CDH5
VIM,VIM
CD141,THBD
